--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.119  000.119: event init
000.309  000.190: early init
000.872  000.563: locale set
000.916  000.044: init first window
001.318  000.402: inits 1
001.338  000.020: window checked
001.343  000.005: parsing arguments
001.790  000.032  000.032: require('vim.shared')
001.863  000.037  000.037: require('vim.inspect')
001.916  000.043  000.043: require('vim._options')
001.919  000.127  000.046: require('vim._editor')
001.921  000.211  000.052: require('vim._init_packages')
001.923  000.368: init lua interpreter
004.215  002.292: expanding arguments
004.229  000.014: inits 2
004.489  000.260: init highlight
004.517  000.029: clear screen
004.604  000.012  000.012: require('vim.keymap')
005.383  000.862  000.850: require('vim._defaults')
005.386  000.006: init default mappings & autocommands
006.498  000.066  000.066: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/ftplugin.vim
006.662  000.027  000.027: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/indent.vim
007.327  000.208  000.208: require('ashrock.set')
008.521  000.974  000.974: require('lazy')
008.590  000.043  000.043: require('ffi')
008.701  000.069  000.069: require('vim.fs')
008.975  000.270  000.270: require('vim.uri')
008.984  000.387  000.048: require('vim.loader')
009.469  000.407  000.407: require('lazy.stats')
009.664  000.158  000.158: require('lazy.core.util')
009.855  000.190  000.190: require('lazy.core.config')
010.144  000.144  000.144: require('lazy.core.handler')
010.802  000.289  000.289: require('lazy.pkg')
010.806  000.506  000.218: require('lazy.core.meta')
010.811  000.665  000.159: require('lazy.core.plugin')
010.817  000.960  000.151: require('lazy.core.loader')
012.134  000.154  000.154: require('lazy.async')
012.441  000.144  000.144: require('lazy.manage.process')
012.614  000.172  000.172: require('lazy.terminal')
012.619  000.480  000.164: require('lazy.manage.task')
012.621  000.879  000.244: require('lazy.manage.runner')
012.624  001.173  000.294: require('lazy.manage')
012.627  001.413  000.240: require('lazy.view.commands')
012.831  000.187  000.187: require('lazy.core.fragments')
014.002  000.139  000.139: require('ashrock.config')
015.627  000.167  000.167: require('lazy.core.handler.event')
