--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.079  000.078: event init
000.187  000.108: early init
000.545  000.359: locale set
000.571  000.026: init first window
000.830  000.259: inits 1
000.848  000.018: window checked
000.852  000.004: parsing arguments
001.124  000.018  000.018: require('vim.shared')
001.164  000.020  000.020: require('vim.inspect')
001.188  000.018  000.018: require('vim._options')
001.189  000.063  000.025: require('vim._editor')
001.190  000.111  000.030: require('vim._init_packages')
001.191  000.228: init lua interpreter
003.043  001.852: expanding arguments
003.053  000.010: inits 2
003.189  000.135: init highlight
003.204  000.015: clear screen
003.260  000.009  000.009: require('vim.keymap')
003.657  000.449  000.440: require('vim._defaults')
003.658  000.005: init default mappings & autocommands
004.311  000.039  000.039: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/ftplugin.vim
004.414  000.020  000.020: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/indent.vim
004.874  000.149  000.149: require('ashrock.set')
005.571  000.548  000.548: require('lazy')
005.600  000.021  000.021: require('ffi')
005.632  000.015  000.015: require('vim.fs')
005.807  000.172  000.172: require('vim.uri')
005.812  000.209  000.022: require('vim.loader')
006.120  000.294  000.294: require('lazy.stats')
006.316  000.171  000.171: require('lazy.core.util')
006.493  000.176  000.176: require('lazy.core.config')
006.724  000.108  000.108: require('lazy.core.handler')
007.014  000.090  000.090: require('lazy.pkg')
007.017  000.193  000.103: require('lazy.core.meta')
007.020  000.295  000.102: require('lazy.core.plugin')
007.024  000.531  000.128: require('lazy.core.loader')
007.811  000.105  000.105: require('lazy.async')
008.028  000.090  000.090: require('lazy.manage.process')
008.096  000.067  000.067: require('lazy.terminal')
008.098  000.287  000.130: require('lazy.manage.task')
008.099  000.493  000.102: require('lazy.manage.runner')
008.101  000.700  000.207: require('lazy.manage')
008.102  000.906  000.205: require('lazy.view.commands')
008.181  000.071  000.071: require('lazy.core.fragments')
009.819  000.084  000.084: require('lazy.core.handler.cmd')
010.017  000.196  000.196: require('lazy.core.handler.event')
